iter	Passed	Remaining
665	1641	823
666	1642	820
667	1643	816
668	1644	813
669	1645	810
670	1649	809
671	1651	806
672	1653	803
673	1654	800
674	1655	797
675	1656	794
676	1657	790
677	1658	787
678	1659	784
679	1666	784
680	1667	781
681	1668	778
682	1669	774
683	1670	771
684	1671	768
685	1672	765
686	1673	762
687	1674	759
688	1675	756
689	1680	755
690	1683	752
691	1684	749
692	1686	747
693	1687	744
694	1688	741
695	1689	738
696	1690	734
697	1697	734
698	1698	731
699	1699	728
700	1700	725
701	1701	722
702	1702	719
703	1703	716
704	1704	713
705	1705	710
706	1710	708
707	1711	705
708	1714	703
709	1715	700
710	1716	697
711	1717	694
712	1718	691
713	1719	688
714	1720	685
715	1721	682
716	1727	681
717	1728	679
718	1729	676
719	1730	673
720	1731	670
721	1732	667
722	1733	664
723	1734	661
724	1735	658
725	1741	657
726	1742	654
727	1745	652
728	1746	649
729	1747	646
730	1748	643
731	1749	640
732	1750	637
733	1751	634
734	1758	633
735	1759	631
736	1760	628
737	1761	625
738	1762	622
739	1763	619
740	1764	616
741	1765	613
742	1766	611
743	1771	609
744	1774	607
745	1775	604
746	1777	601
747	1778	599
748	1779	596
749	1780	593
750	1781	590
751	1787	589
752	1789	586
753	1790	584
754	1790	581
755	1791	578
756	1792	575
757	1793	572
758	1795	569
759	1796	567
760	1797	564
761	1802	562
762	1804	560
763	1805	557
764	1806	555
765	1807	552
766	1808	549
767	1809	546
768	1810	543
769	1811	541
770	1818	540
771	1819	537
772	1820	534
773	1821	531
774	1822	529
775	1823	526
776	1824	523
777	1825	521
778	1826	518
779	1831	516
780	1832	513
781	1835	511
782	1836	508
783	1837	506
784	1838	503
785	1839	500
786	1840	498
787	1841	495
788	1842	492
789	1849	491
790	1850	488
791	1851	486
792	1852	483
793	1853	480
794	1854	478
795	1855	475
796	1856	472
797	1857	470
798	1861	468
799	1863	465
800	1865	463
801	1866	460
802	1868	458
803	1869	455
804	1870	453
805	1871	450
806	1872	447
807	1873	445
808	1880	443
809	1881	441
810	1882	438
811	1884	436
812	1885	433
813	1886	431
814	1887	428
815	1892	426
816	1894	424
817	1896	422
818	1897	419
819	1898	416
820	1899	414
821	1900	411
822	1901	409
823	1902	406
824	1908	404
825	1909	402
826	1910	399
827	1911	397
828	1912	394
829	1913	391
830	1915	389
831	1916	386
832	1917	384
833	1918	381
834	1922	379
835	1924	377
836	1927	375
837	1928	372
838	1930	370
839	1931	367
840	1932	365
841	1933	362
842	1940	361
843	1942	358
844	1943	356
845	1944	353
846	1945	351
847	1946	348
848	1947	346
849	1948	343
850	1949	341
851	1952	339
852	1953	336
853	1954	334
854	1955	331
855	1956	329
856	1957	326
857	1958	324
858	1959	321
859	1966	320
860	1967	317
861	1968	315
862	1970	312
863	1971	310
864	1972	307
865	1973	305
866	1974	302
867	1981	301
868	1982	298
869	1983	296
870	1985	294
871	1986	291
872	1990	289
873	1999	288
874	2001	285
875	2003	283
876	2004	281
877	2005	278
878	2012	277
879	2015	274
880	2017	272
881	2018	270
882	2019	267
883	2020	265
884	2021	262
885	2023	260
886	2024	257
887	2025	255
888	2027	253
889	2028	250
890	2029	248
891	2030	245
892	2037	244
893	2040	241
894	2041	239
895	2042	237
896	2043	234
897	2044	232
898	2045	229
899	2054	228
900	2055	225
901	2057	223
902	2059	221
903	2060	218
904	2061	216
905	2071	214
906	2072	212
907	2073	210
908	2075	207
909	2076	205
910	2077	202
911	2085	201
912	2087	198
913	2088	196
914	2089	194
915	2090	191
916	2091	189
917	2092	186
918	2097	184
919	2100	182
920	2102	180
921	2103	177
922	2104	175
923	2105	173
924	2106	170
925	2113	168
926	2115	166
927	2116	164
928	2117	161
929	2118	159
930	2119	157
931	2120	154
932	2121	152
933	2122	150
934	2127	147
935	2128	145
936	2130	143
937	2132	140
938	2133	138
939	2134	136
940	2135	133
941	2136	131
942	2137	129
943	2145	127
944	2146	124
945	2147	122
946	2149	120
947	2150	117
948	2150	115
949	2152	113
950	2156	111
951	2161	108
952	2162	106
953	2163	104
954	2164	102
955	2165	99
956	2166	97
957	2167	95
958	2175	92
959	2176	90
960	2178	88
961	2180	86
962	2181	83
963	2182	81
964	2189	79
965	2192	77
966	2194	74
967	2195	72
968	2196	70
969	2197	67
970	2198	65
971	2205	63
972	2206	61
973	2208	58
974	2209	56
975	2210	54
976	2211	52
977	2212	49
978	2213	47
979	2219	45
980	2222	43
981	2223	40
982	2224	38
983	2226	36
984	2227	33
985	2228	31
986	2229	29
987	2231	27
988	2232	24
989	2233	22
990	2235	20
991	2238	18
992	2245	15
993	2248	13
994	2249	11
995	2250	9
996	2251	6
997	2252	4
998	2253	2
999	2260	0
